"Resumes Plugin";"CV Profiler Plugin"
"This is the profile for a resume.";"This is the profile for a resume."
"This resume is not yet approved, and not viewable by public.";"This resume is not yet approved, and not viewable by public."
"Payment is required, if you have not paid yet, please <a href=""%s"">make payment</a> now.";"Payment is required, if you have not paid yet, please <a href=""%s"">make payment</a> now."
"Category: %s";"Category: %s"
"Tags: %s";"Tags: %s"
"Posted: %s";"Posted: %s"
"Resume Application";"Resume Application"
"posted on %s";"posted on %s"

"Highest Price";"Highest Price"
"Lowest Price";"Lowest Price"
"min";"min"
"max";"max"
"Standard Basic Listing";"Standard Basic Listing"
"Standard Basic Listing (Free for 3 months)";"Standard Basic Listing (Free for 3 months)"
"In %s currency, please enter number only";"In %s currency, please enter number only"
"Ex: 400 S Hill St, Los Angeles, CA 90013";"Ex: 400 S Hill St, Los Angeles, CA 90013"

"Print This Resume";"Print This Resume"
"Phone: %s";"Phone: %s"
"Mobile: %s";"Mobile: %s"
"Fax: %s";"Fax: %s"
"Email: %s";"Email: %s"
"Website: %s";"Website: %s"
"Minored in %s";"Minored in %s"
"No photos have been uploaded to this resume yet.";"No photos have been uploaded to this resume yet."

"Who may upload photos to this resume?";"Who may upload photos to this resume?"
"Show this resume in browse and search results";"Show this resume in browse and search results"
"This resume is not live yet.";"This resume is not live yet."
"This resume has not been approved by administrator yet.";"This resume has not been approved by administrator yet."
"This resume has been expired.";"This resume has been expired."
"Sorry, you cannot view this resume at this time.";"Sorry, you cannot view this resume at this time."
"PUBLISH RESUME NOW";"PUBLISH RESUME NOW"
"This resume is in DRAFT mode, once you have reviewed its content, make sure you publish it to LIVE mode.";"This resume is in DRAFT mode, once you have reviewed its content, make sure you publish it to LIVE mode."
"Publish Now";"Publish Now"
"Would you like to publish this resume now? Once it has been published, you cannot set it to DRAFT mode again. Please review your resume carefully before publishing it.";"Would you like to publish this resume now? Once it has been published, you cannot set it to DRAFT mode again. Please review your resume carefully before publishing it."
"Publish Resume?";"Publish Resume?"
"NOTICE: This resume is in DRAFT mode, and would not be viewable by others. Once you've reviewed its content, you can change it to LIVE mode by publish it.";"NOTICE: This resume is in DRAFT mode, and would not be viewable by others. Once you've reviewed its content, you can change it to LIVE mode by publish it."


# title tag
"pagetitle-resume-edit-resume";"Edit Resume Details"
"pagetitle-resume-location-resume";"Edit Resume Location"
"pagetitle-resume-style-resume";"Edit Resume Styles"
"pagetitle-resume-delete-resume";"Delete Resume"
"pagetitle-resume-payments-resume";"Resume Payment History"
"pagetitle-resume-success-resume";"Resume Posted"
"pagetitle-resume-packages-resume";"Resume Renew / Upgrade Package"
"pagetitle-resume-checkout-resume";"Resume Checkout"

"pagetitle-resume-update-expiration-admin-manage";"Admin Resume - Update Resume's Expiration"
"pagetitle-resume-update-package-admin-manage";"Admin Resume - Update Resume's Package"
"pagetitle-resume-update-status-admin-manage";"Admin Resume - Update Resume's Status"

"pagetitle-resume-index-admin-manage";"Admin Resume - View Resumes"
"pagetitle-resume-delete-admin-manage";"Admin Resume - Delete Resume"
"pagetitle-resume-featured-admin-manage";"Admin Resume - Feature Resume"
"pagetitle-resume-deleteselected-admin-manage";"Admin Resume - Delete Selected Resumes"
"pagetitle-resume-index-admin-settings";"Admin Resume - Global Settings"
"pagetitle-resume-index-admin-level";"Admin Resume - Member Level Settings"
"pagetitle-resume-index-admin-fields";"Admin Resume - Resume Questions"

"pagetitle-resume-index-admin-categories";"Admin Resume - Manage Categories"
"pagetitle-resume-add-admin-categories";"Admin Resume - Add Category"
"pagetitle-resume-move-admin-categories";"Admin Resume - Move Category"
"pagetitle-resume-edit-admin-categories";"Admin Resume - Edit Category"
"pagetitle-resume-delete-admin-categories";"Admin Resume - Delete Category"


"pagetitle-resume-index-admin-packages";"Admin Resume - Manage Packages"
"pagetitle-resume-create-admin-packages";"Admin Resume - Add Package"
"pagetitle-resume-move-admin-packages";"Admin Resume - Move Package"
"pagetitle-resume-edit-admin-packages";"Admin Resume - Edit Package"
"pagetitle-resume-delete-admin-packages";"Admin Resume - Delete Package"

"pagetitle-resume-delete-admin-epayments";"Admin Resume - Delete Payment"
"pagetitle-resume-edit-admin-epayments";"Admin Resume - Edit Payment"
"pagetitle-resume-view-admin-epayments";"Admin Resume - View Payment"
"pagetitle-resume-process-admin-epayments";"Admin Resume - Process Payment"
"pagetitle-resume-create-admin-epayments";"Admin Resume - Create Payment"
"pagetitle-resume-index-admin-epayments";"Admin Resume - Manage Payments"

"pagetitle-resume-delete-admin-sections";"Admin Resume - Delete Section"
"pagetitle-resume-edit-admin-sections";"Admin Resume - Edit Section"
"pagetitle-resume-add-admin-sections";"Admin Resume - Add Section"
"pagetitle-resume-index-admin-sections";"Admin Resume - Manage Sections"


"Add Sportinghistory";"Add Sporting History"
"Add Award";"Add Honours & Awards"
"Add Coachinghistory";"Add Coaching History"
